Movie_ID,Movie_Name,Mood,Genre,Year,Rating,Duration_Minutes
1,The Godfather,Exciting,Drama,1979,6.6,162
2,The Godfather,Scary,Fantasy,2011,3.1,98
3,The Godfather,Adventurous,Comedy,2024,5.7,141
4,Avengers: Endgame,Adventurous,Fantasy,1980,3.7,144
5,Inception,Adventurous,Romance,1956,1.6,166
6,Avengers: Endgame,Exciting,Sci-Fi,2010,7.9,173
7,The Shawshank Redemption,Exciting,Mystery,2010,3.0,156
8,Titanic,Romantic,Action,1982,1.7,171
9,The Godfather,Scary,Sci-Fi,1977,2.8,133
10,The Shawshank Redemption,Exciting,Drama,1992,3.0,108
11,The Shawshank Redemption,Sad,Romance,1974,2.8,169
12,Titanic,Scary,Mystery,1968,6.0,114
13,Inception,Relaxed,Mystery,1993,4.6,98
14,Avengers: Endgame,Scary,Horror,2011,8.5,175
15,Inception,Happy,Thriller,1958,2.4,113
16,The Godfather,Scary,Sci-Fi,1977,7.0,142
17,Titanic,Romantic,Thriller,2004,6.6,168
18,The Shawshank Redemption,Relaxed,Horror,1992,6.4,78
19,The Godfather,Mysterious,Thriller,1977,2.5,97
20,Avengers: Endgame,Relaxed,Horror,1959,2.2,144
21,The Godfather,Exciting,Romance,1960,2.7,170
22,Avengers: Endgame,Mysterious,Drama,2007,4.0,165
23,Inception,Relaxed,Thriller,1970,3.0,94
24,Inception,Scary,Comedy,1958,8.1,154
25,The Godfather,Relaxed,Action,2019,1.8,82
26,The Shawshank Redemption,Happy,Mystery,1957,9.1,136
27,Titanic,Mysterious,Drama,2008,2.4,138
28,Avengers: Endgame,Adventurous,Romance,1966,3.2,91
29,Kabir Singh,Romantic,Horror,1981,1.6,140
30,The Godfather,Sad,Comedy,2005,6.6,119
31,The Shawshank Redemption,Sad,Romance,2008,6.8,113
32,A Walk to Remember,Romantic,Thriller,1996,9.8,94
33,My Fault,Romantic,Thriller,1954,3.5,150
34,The Shawshank Redemption,Adventurous,Drama,2005,7.3,163
35,Avengers: Endgame,Happy,Thriller,2010,7.2,150
36,Titanic,Adventurous,Romance,1955,1.4,79
37,Avengers: Endgame,Relaxed,Thriller,1991,5.6,139
38,Inception,Happy,Drama,1972,7.3,117
39,Inception,Happy,Mystery,1961,5.9,151
40,Avengers: Endgame,Relaxed,Comedy,1996,4.9,122
41,The Shawshank Redemption,Relaxed,Thriller,1962,5.6,152
42,The Godfather,Happy,Thriller,1983,3.0,87
43,Inception,Adventurous,Romance,1981,3.6,146
44,The Shawshank Redemption,Exciting,Romance,2010,9.0,118
45,Titanic,Sad,Sci-Fi,1964,2.7,80
46,The Shawshank Redemption,Mysterious,Mystery,1991,6.0,80
47,Titanic,Mysterious,Romance,1998,9.6,174
48,Titanic,Scary,Comedy,1960,7.2,80
49,The Shawshank Redemption,Exciting,Sci-Fi,1953,8.1,159
50,The Shawshank Redemption,Scary,Romance,1973,6.6,90
51,The Shawshank Redemption,Adventurous,Sci-Fi,1974,3.1,101
52,The Shawshank Redemption,Sad,Thriller,2024,1.6,114
53,The Godfather,Adventurous,Sci-Fi,1962,9.4,145
54,Avengers: Endgame,Mysterious,Romance,1951,1.1,143
55,Titanic,Happy,Action,1953,4.7,113
56,Avengers: Endgame,Scary,Sci-Fi,2000,2.3,110
57,Titanic,Happy,Sci-Fi,1964,5.0,153
58,The Shawshank Redemption,Happy,Fantasy,2010,1.3,136
59,The Shawshank Redemption,Sad,Romance,1975,1.7,98
60,Titanic,Mysterious,Thriller,1983,1.4,153
61,Inception,Mysterious,Fantasy,1972,6.1,175
62,The Shawshank Redemption,Scary,Action,1998,4.0,114
63,Titanic,Sad,Romance,1959,6.7,147
64,Avengers: Endgame,Exciting,Sci-Fi,2010,1.9,123
65,Avengers: Endgame,Mysterious,Horror,1973,8.2,155
66,The Shawshank Redemption,Scary,Comedy,1964,9.2,131
67,Inception,Scary,Fantasy,2011,7.5,88
68,Inception,Scary,Fantasy,2011,4.6,111
